GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
0400000US01,01,Alabama,4720592,1153,868666,11290,18.4,0.2
0400000US02,02,Alaska,719064,455,72826,2617,10.1,0.4
0400000US04,04,Arizona,6573523,1516,1165636,11825,17.7,0.2
0400000US05,05,Arkansas,2881404,1080,542431,8531,18.8,0.3
0400000US06,06,California,37913144,3747,6004257,40014,15.8,0.1
0400000US08,08,Colorado,5241057,1261,637938,9444,12.2,0.2
0400000US09,09,Connecticut,3479672,773,360464,7264,10.4,0.2
0400000US10,10,Delaware,908973,538,109448,3591,12,0.4
0400000US11,11,District of Columbia,624954,360,112060,3225,17.9,0.5
0400000US12,12,Florida,19514334,2315,3139258,25852,16.1,0.1
0400000US13,13,Georgia,9829056,2023,1746894,18641,17.8,0.2
0400000US15,15,Hawaii,1375928,582,148577,4267,10.8,0.3
0400000US16,16,Idaho,1604369,724,244585,7073,15.2,0.4
0400000US17,17,Illinois,12548538,1537,1753731,19097,14,0.2
0400000US18,18,Indiana,6388926,1577,957694,11628,15,0.2
0400000US19,19,Iowa,3005808,969,369828,6112,12.3,0.2
0400000US20,20,Kansas,2816191,715,373162,7122,13.3,0.3
0400000US21,21,Kentucky,4275202,1329,804139,12031,18.8,0.3
0400000US22,22,Louisiana,4514625,1173,889570,12394,19.7,0.3
0400000US23,23,Maine,1294446,683,174405,4477,13.5,0.3
0400000US24,24,Maryland,5819563,1188,576835,9530,9.9,0.2
0400000US25,25,Massachusetts,6506029,1399,740836,10359,11.4,0.2
0400000US26,26,Michigan,9683865,1916,1575066,14587,16.3,0.2
0400000US27,27,Minnesota,5327019,860,577196,7933,10.8,0.1
0400000US28,28,Mississippi,2893091,796,645553,8803,22.3,0.3
0400000US29,29,Missouri,5876366,1479,897755,11360,15.3,0.2
0400000US30,30,Montana,998314,595,148677,3742,14.9,0.4
0400000US31,31,Nebraska,1827191,669,227021,4403,12.4,0.2
0400000US32,32,Nevada,2798543,880,417257,8103,14.9,0.3
0400000US33,33,New Hampshire,1285437,565,109690,3972,8.5,0.3
0400000US34,34,New Jersey,8739058,1115,949341,12528,10.9,0.1
0400000US35,35,New Mexico,2042014,680,426814,7535,20.9,0.4
0400000US36,36,New York,19186062,2178,2967564,23686,15.5,0.1
0400000US37,37,North Carolina,9685511,1782,1631704,17281,16.8,0.2
0400000US38,38,North Dakota,710355,404,79314,2324,11.2,0.3
0400000US39,39,Ohio,11267500,1752,1732839,17545,15.4,0.2
0400000US40,40,Oklahoma,3760050,1033,621155,7759,16.5,0.2
0400000US41,41,Oregon,3905386,1117,614223,8885,15.7,0.2
0400000US42,42,Pennsylvania,12369671,1820,1647762,15174,13.3,0.1
0400000US44,44,Rhode Island,1013916,310,140161,3799,13.8,0.4
0400000US45,45,South Carolina,4693266,1198,806422,10436,17.2,0.2
0400000US46,46,South Dakota,822334,368,115300,2727,14,0.3
0400000US47,47,Tennessee,6386751,1472,1100169,12319,17.2,0.2
0400000US48,48,Texas,26334005,3096,4397307,31273,16.7,0.1
0400000US49,49,Utah,2901465,781,338808,7554,11.7,0.3
0400000US50,50,Vermont,601538,439,69673,2152,11.6,0.4
0400000US51,51,Virginia,8060892,1353,921664,13048,11.4,0.2
0400000US53,53,Washington,6939622,1344,883256,12349,12.7,0.2
0400000US54,54,West Virginia,1792808,836,318060,5994,17.7,0.3
0400000US55,55,Wisconsin,5603274,1202,713472,9496,12.7,0.2
0400000US56,56,Wyoming,568943,436,65762,2790,11.6,0.5
0400000US72,72,Puerto Rico,3496728,757,1577075,12066,45.1,0.3
